Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RISK_MM,RainTomorrow
10/20/2010,Sydney,12.9,20.3,0.2,3,10.9,ENE,37,W,E,11,26,70,57,1028.8,1025.6,3,1,16.9,19.8,No,0,No
10/21/2010,Sydney,13.3,21.5,0,6.6,11,ENE,41,W,ENE,11,28,75,58,1025.9,1022.4,2,5,17.6,21.3,No,0,No
10/22/2010,Sydney,15.3,23,0,5.6,11,NNE,41,W,ENE,6,19,70,63,1021.4,1017.8,1,4,19,22.2,No,0,No
10/26/2010,Sydney,12.9,26.7,0.2,3.8,12.1,NE,33,W,ENE,13,24,73,56,1018,1015,1,5,17.8,22.5,No,0,No
10/27/2010,Sydney,14.8,23.8,0,6.8,9.6,SSE,54,SSE,SE,13,26,76,69,1016,1014.7,2,7,20.2,20.6,No,1.8,Yes
10/29/2010,Sydney,14.5,22.1,0.2,6.2,1.8,ENE,31,WNW,ENE,11,15,82,59,1020.7,1017.5,7,7,16.2,20.5,No,0,No
11/1/2010,Sydney,18.1,20.4,5.2,6.6,0.1,SSE,48,S,SSE,22,28,78,77,1014.7,1012.1,8,8,18.7,18.6,Yes,32.6,Yes
11/3/2010,Sydney,12,23.9,0.2,4,11.9,SE,44,W,ESE,13,24,65,54,1018.1,1016.3,1,3,17.6,20.7,No,0.4,No
11/4/2010,Sydney,14.4,18.1,0.4,5.4,2.8,ESE,48,S,SE,15,20,83,68,1022.3,1020.5,7,7,14.8,17.6,No,8.4,Yes
11/5/2010,Sydney,13.4,19.2,8.4,8.4,2.7,SE,46,SE,SSE,17,30,67,53,1023.9,1022.1,7,7,15.2,17.8,Yes,26,Yes
11/8/2010,Sydney,16.1,26.3,0,5.8,7.9,SW,74,E,NNE,7,28,64,52,1017.2,1015.1,3,7,23.3,23.8,No,5.6,Yes
11/9/2010,Sydney,17.2,23.6,5.6,11.2,7,SSE,37,SSE,E,22,11,80,54,1025,1024.2,7,8,19.7,23.2,Yes,0,No
11/10/2010,Sydney,18.2,24.5,0,3.2,6,N,52,WNW,ENE,6,30,87,72,1021.8,1017.1,5,7,20.9,23.5,No,8.6,Yes
11/11/2010,Sydney,19.7,27.2,8.6,7.2,9.3,E,30,ESE,E,7,24,77,43,1014.9,1012,5,3,20.1,25,Yes,0,No
11/16/2010,Sydney,17.4,23.5,21,1,7.9,ESE,35,S,SSE,13,20,82,65,1013.3,1011.3,7,3,18.8,22.8,Yes,0.4,No
11/17/2010,Sydney,17.1,22.3,0.4,6.6,4.2,SSE,28,S,E,17,15,80,61,1017.1,1015.7,7,6,17.5,21,No,1,No
11/18/2010,Sydney,16.8,23.4,1,3.6,8.8,NE,35,N,NE,7,20,65,59,1015.2,1012.2,3,6,22.3,22.6,No,0,No
11/19/2010,Sydney,16.7,20,0,8,0.4,SSE,67,S,SSE,26,33,71,58,1021.8,1024,7,8,17.4,18.5,No,0,No
11/22/2010,Sydney,16.5,24,0,9,11.4,NE,44,WNW,E,4,26,82,54,1026,1024.3,6,2,19.3,23.2,No,0,No
11/24/2010,Sydney,17.5,24.7,0,11,12.6,NE,56,NNE,NE,17,26,60,58,1025.3,1022,2,1,22.8,24.1,No,0,No
11/25/2010,Sydney,18.5,26,0,8.8,12.1,NE,44,E,NE,17,20,67,53,1020.5,1017.7,1,1,22.5,25.2,No,0,No
11/26/2010,Sydney,18.9,24.1,0,11.6,9,NE,37,E,E,13,19,62,72,1017.3,1015.3,5,7,23.9,22.4,No,0,No
11/30/2010,Sydney,16.4,21.6,5.6,1.8,0.9,SSW,44,S,SSE,11,17,94,91,1016.4,1014.5,8,8,17.3,20.2,Yes,27.6,Yes
12/1/2010,Sydney,17.2,20.1,27.6,3.4,0,E,43,ENE,E,30,19,94,89,1016.4,1015.3,8,8,18.9,19.9,Yes,21,Yes
12/2/2010,Sydney,18.5,24.3,21,1.8,5.4,ENE,44,ENE,ENE,17,22,91,78,1018,1015.9,8,7,20.1,22.7,Yes,0.2,No
12/3/2010,Sydney,19.8,24.4,0.2,5.2,8.7,ENE,43,NNE,E,17,24,70,74,1017.3,1014.7,2,6,23.7,23.2,No,0,No
12/6/2010,Sydney,20.4,25.7,1,5.8,11.4,ESE,28,ESE,ESE,7,19,74,67,1014.2,1013.3,5,5,23.6,25.5,No,0,No
12/7/2010,Sydney,21,26,0,8,13.2,ENE,43,E,ENE,19,24,73,63,1016.5,1015.4,6,3,23.5,25.4,No,0,No
12/8/2010,Sydney,20.8,26.3,0,7.6,12.2,NE,63,NE,NE,15,28,67,68,1016.7,1012.5,3,5,24.8,25.7,No,0,No
12/9/2010,Sydney,22,30.7,0,10.4,2.6,N,31,NE,SSE,13,9,80,62,1010.8,1008.2,7,8,23.4,28.3,No,0,No
12/10/2010,Sydney,22.8,29.6,0,4.8,4.3,S,46,WSW,E,17,28,74,72,1009.4,1006,8,7,23.6,24,No,0,No
12/13/2010,Sydney,18.5,26.3,0,10.2,12.8,SSW,44,SSW,ESE,15,24,62,51,1013.5,1012.7,2,1,22.6,25.5,No,0,No
