SITEID,Species,Number Captured,Minimum (mm),Maximum (mm),Project Name,Day,Month,Year,Waterbody Name,WaterbodyType,Start Latitude,Start Longitude,Air Temperature (C),Water Temperature (C),Turbidity (ntu)
5599,Notropis hudsonius,3,79,81,2013 Northern Madtom Survey of Lake St. Clair,22,4,2013,Lake St. Clair,Lake,42.46966,-82.43121,12.9,10.91,77.3
5599,Proterorhinus semilunaris,1,65,65,2013 Northern Madtom Survey of Lake St. Clair,22,4,2013,Lake St. Clair,Lake,42.46966,-82.43121,12.9,10.91,77.3
5599,Notropis hudsonius,1,75,85,2013 Northern Madtom Survey of Lake St. Clair,22,4,2013,Lake St. Clair,Lake,42.46966,-82.43121,12.9,10.91,77.3
5599,Percopsis omiscomaycus,3,94,105,2013 Northern Madtom Survey of Lake St. Clair,22,4,2013,Lake St. Clair,Lake,42.46966,-82.43121,12.9,10.91,77.3
5599,Notropis hudsonius,2,71,102,2013 Northern Madtom Survey of Lake St. Clair,22,4,2013,Lake St. Clair,Lake,42.46966,-82.43121,12.9,10.91,77.3
5600,Labidesthes sicculus,1,69,69,2013 Northern Madtom Survey of Lake St. Clair,22,4,2013,Lake St. Clair,Lake,42.47045,-82.43104,13.1,10.7,75.9
5600,Notropis hudsonius,1,98,98,2013 Northern Madtom Survey of Lake St. Clair,22,4,2013,Lake St. Clair,Lake,42.47045,-82.43104,13.1,10.7,75.9
5600,Proterorhinus semilunaris,1,66,66,2013 Northern Madtom Survey of Lake St. Clair,22,4,2013,Lake St. Clair,Lake,42.47045,-82.43104,13.1,10.7,75.9
5600,Notropis volucellus,1,37,37,2013 Northern Madtom Survey of Lake St. Clair,22,4,2013,Lake St. Clair,Lake,42.47045,-82.43104,13.1,10.7,75.9
5600,Noturus gyrinus,1,33,33,2013 Northern Madtom Survey of Lake St. Clair,22,4,2013,Lake St. Clair,Lake,42.47045,-82.43104,13.1,10.7,75.9
5600,Labidesthes sicculus,1,58,58,2013 Northern Madtom Survey of Lake St. Clair,22,4,2013,Lake St. Clair,Lake,42.47045,-82.43104,13.1,10.7,75.9
5601,Notropis hudsonius,2,62,93,2013 Northern Madtom Survey of Lake St. Clair,22,4,2013,Lake St. Clair,Lake,42.4721,-82.43082,13,11.24,90.2
5601,Notropis hudsonius,2,102,109,2013 Northern Madtom Survey of Lake St. Clair,22,4,2013,Lake St. Clair,Lake,42.4721,-82.43082,13,11.24,90.2
5601,Notropis hudsonius,3,67,78,2013 Northern Madtom Survey of Lake St. Clair,22,4,2013,Lake St. Clair,Lake,42.4721,-82.43082,13,11.24,90.2
5601,Notropis atherinoides,1,39,39,2013 Northern Madtom Survey of Lake St. Clair,22,4,2013,Lake St. Clair,Lake,42.4721,-82.43082,13,11.24,90.2
5602,Ictalurus punctatus,2,125,128,2013 Northern Madtom Survey of Lake St. Clair,23,4,2013,Lake St. Clair,Lake,42.3241,-82.45885,8.2,9.56,84.4
5602,Percopsis omiscomaycus,1,92,92,2013 Northern Madtom Survey of Lake St. Clair,23,4,2013,Lake St. Clair,Lake,42.3241,-82.45885,8.2,9.56,84.4
5602,Ictalurus punctatus,1,137,137,2013 Northern Madtom Survey of Lake St. Clair,23,4,2013,Lake St. Clair,Lake,42.3241,-82.45885,8.2,9.56,84.4
5602,Notropis hudsonius,1,95,95,2013 Northern Madtom Survey of Lake St. Clair,23,4,2013,Lake St. Clair,Lake,42.3241,-82.45885,8.2,9.56,84.4
5602,Percopsis omiscomaycus,1,80,80,2013 Northern Madtom Survey of Lake St. Clair,23,4,2013,Lake St. Clair,Lake,42.3241,-82.45885,8.2,9.56,84.4
5602,Ictalurus punctatus,1,360,360,2013 Northern Madtom Survey of Lake St. Clair,23,4,2013,Lake St. Clair,Lake,42.3241,-82.45885,8.2,9.56,84.4
5602,Notropis hudsonius,1,84,84,2013 Northern Madtom Survey of Lake St. Clair,23,4,2013,Lake St. Clair,Lake,42.3241,-82.45885,8.2,9.56,84.4
5603,Notropis hudsonius,1,105,105,2013 Northern Madtom Survey of Lake St. Clair,23,4,2013,Lake St. Clair,Lake,42.3233,-82.45667,8.2,9.57,69.6
5603,No fish captured,,,,2013 Northern Madtom Survey of Lake St. Clair,23,4,2013,Lake St. Clair,Lake,42.3233,-82.45667,8.2,9.57,69.6
5603,No fish captured,,,,2013 Northern Madtom Survey of Lake St. Clair,23,4,2013,Lake St. Clair,Lake,42.3233,-82.45667,8.2,9.57,69.6
5604,Notropis hudsonius,12,38,109,2013 Northern Madtom Survey of Lake St. Clair,23,4,2013,Lake St. Clair,Lake,42.32083,-82.48656,9.3,9.56,34.6
5604,Ambloplites rupestris,2,60,64,2013 Northern Madtom Survey of Lake St. Clair,23,4,2013,Lake St. Clair,Lake,42.32083,-82.48656,9.3,9.56,34.6
5604,Notropis volucellus,1,33,33,2013 Northern Madtom Survey of Lake St. Clair,23,4,2013,Lake St. Clair,Lake,42.32083,-82.48656,9.3,9.56,34.6
5604,Notropis hudsonius,26,42,81,2013 Northern Madtom Survey of Lake St. Clair,23,4,2013,Lake St. Clair,Lake,42.32083,-82.48656,9.3,9.56,34.6
5604,Morone americana,1,155,155,2013 Northern Madtom Survey of Lake St. Clair,23,4,2013,Lake St. Clair,Lake,42.32083,-82.48656,9.3,9.56,34.6
