Year,State,Description,value
1997,Alabama,Chain-type quantity indexes for real GDP,76.356
1997,Alabama,Compensation (millions of dollars),61083.8
1997,Alaska,Chain-type quantity indexes for real GDP,72.424
1997,Alaska,Compensation (millions of dollars),12347.8
1997,Arizona,Chain-type quantity indexes for real GDP,62.043
1997,Arizona,Compensation (millions of dollars),69876.9
1997,Arkansas,Chain-type quantity indexes for real GDP,76.108
1997,Arkansas,Compensation (millions of dollars),32715.5
1997,California,Chain-type quantity indexes for real GDP,65.225
1997,California,Compensation (millions of dollars),574432.9
1997,Colorado,Chain-type quantity indexes for real GDP,66.535
1997,Colorado,Compensation (millions of dollars),75823.9
1997,Connecticut,Chain-type quantity indexes for real GDP,79.082
1997,Connecticut,Compensation (millions of dollars),77438.9
1997,Delaware,Chain-type quantity indexes for real GDP,73.74
1997,Delaware,Compensation (millions of dollars),15575
1997,District of Columbia,Chain-type quantity indexes for real GDP,71.175
1997,District of Columbia,Compensation (millions of dollars),36301.4
1997,Florida,Chain-type quantity indexes for real GDP,71.904
1997,Florida,Compensation (millions of dollars),221570
1997,Georgia,Chain-type quantity indexes for real GDP,73.279
1997,Georgia,Compensation (millions of dollars),132265
1997,Hawaii,Chain-type quantity indexes for real GDP,77.608
1997,Hawaii,Compensation (millions of dollars),21079.4
1997,Idaho,Chain-type quantity indexes for real GDP,63.434
1997,Idaho,Compensation (millions of dollars),16181.2
1997,Illinois,Chain-type quantity indexes for real GDP,79.396
1997,Illinois,Compensation (millions of dollars),236758.4
1997,Indiana,Chain-type quantity indexes for real GDP,77.106
1997,Indiana,Compensation (millions of dollars),97939.3
1997,Iowa,Chain-type quantity indexes for real GDP,71.459
1997,Iowa,Compensation (millions of dollars),43058.4
1997,Kansas,Chain-type quantity indexes for real GDP,73.739
1997,Kansas,Compensation (millions of dollars),42336.5
1997,Kentucky,Chain-type quantity indexes for real GDP,82.25
1997,Kentucky,Compensation (millions of dollars),55345.3
1997,Louisiana,Chain-type quantity indexes for real GDP,85.334
1997,Louisiana,Compensation (millions of dollars),60384.9
1997,Maine,Chain-type quantity indexes for real GDP,79.997
1997,Maine,Compensation (millions of dollars),17694.3
1997,Maryland,Chain-type quantity indexes for real GDP,66.525
1997,Maryland,Compensation (millions of dollars),92546.3
1997,Massachusetts,Chain-type quantity indexes for real GDP,68.348
1997,Massachusetts,Compensation (millions of dollars),135274.1
1997,Michigan,Chain-type quantity indexes for real GDP,93.916
1997,Michigan,Compensation (millions of dollars),178618.1
1997,Minnesota,Chain-type quantity indexes for real GDP,71.19
1997,Minnesota,Compensation (millions of dollars),91983.8
1997,Mississippi,Chain-type quantity indexes for real GDP,82.782
1997,Mississippi,Compensation (millions of dollars),32624.3
1997,Missouri,Chain-type quantity indexes for real GDP,83.892
1997,Missouri,Compensation (millions of dollars),91302.3
1997,Montana,Chain-type quantity indexes for real GDP,68.603
1997,Montana,Compensation (millions of dollars),10408.4
1997,Nebraska,Chain-type quantity indexes for real GDP,68.544
1997,Nebraska,Compensation (millions of dollars),27299.2
1997,Nevada,Chain-type quantity indexes for real GDP,69.517
1997,Nevada,Compensation (millions of dollars),32832.8
1997,New Hampshire,Chain-type quantity indexes for real GDP,70.6
1997,New Hampshire,Compensation (millions of dollars),20230.7
1997,New Jersey,Chain-type quantity indexes for real GDP,82.368
