economicActivityFemale,country,region,totalfertilityrate,lifeMale,infantMortality,gdpPerCapita,economicActivityMale,illiteracyMale,illiteracyFemale,lifeFemale,geographic_location,contraception
7.2,Afghanistan,other,6.9,45,154,2474,87.5,52.8,85,46,Southern Asia,
7.8,Algeria,other,3.81,67.5,44,11433,76.4,26.1,51,70.3,Northern Africa,
41.3,Argentina,west,2.62,69.6,22,22141,76.2,3.8,3.8,76.8,South America,
52,Armenia,west,1.7,67.2,25,13638,65,0.3,0.5,74,Western Asia,
53.8,Australia,other,1.89,75.4,6,54891,74,1,1,81.2,Oceania,
47.7,Austria,west,1.42,73.7,6,57891,69.5,1,1,80.1,Western Europe,
67,Bahamas,west,1.95,70.5,14,34046,81.2,1.5,2,77.1,North America,
29.2,Bahrain,other,2.97,71.1,18,50284,88.2,10.9,20.6,75.3,Western Asia,
55.9,Bangladesh,other,3.14,58.1,78,5812,88.8,50.6,73.9,58.2,Southern Asia,
61.4,Barbados,west,1.73,73.6,9,14329,73.4,2,3.2,78.7,North America,
61.3,Belarus,west,1.4,64.4,15,20578,76.4,0.3,0.6,74.8,Eastern Europe,
34,Belize,west,3.66,73.4,30,6133,79,21.252,23.472,76.1,North America,79
57.8,Benin,other,5.83,52.4,84,3573,90,51.3,74.2,57.2,Western Africa,79
56.3,Bolivia,west,4.36,59.8,66,8832,74.1,9.5,24,63.2,South America,79
41.7,Botswana,other,4.45,48.9,56,18113,75.4,19.5,40.1,51.7,Southern Africa,79
53.6,Brazil,west,2.17,63.4,42,15643,84,16.7,16.8,71.2,South America,79
46.4,Brunei,other,2.7,73.4,9,64405,82.2,7.4,16.6,78.1,South-eastern Asia,79
53.8,Bulgaria,west,1.45,67.8,16,25471,60.7,0.924,2.376,74.9,Eastern Europe,79
79.4,Burkina Faso,other,6.57,45.1,97,2334,88.9,70.5,90.8,47,Western Africa,79
90.6,Burundi,other,6.28,45.5,114,772,90.1,50.7,77.5,48.8,Eastern Africa,79
84.7,Cambodia,other,4.5,52.6,102,4930,77.3,19.5,13.5,55.4,South-eastern Asia,79
57.6,Canada,west,1.61,76.1,6,51713,72.4,1,35,81.8,Northern America,79
41.1,Cape Verde,other,3.56,65.5,41,6837,85.1,18.6,36.2,67.5,Western Africa,79
68.8,Central African Republic,other,4.95,46.4,96,1013,87,31.5,47.6,51,Middle Africa,79
25.3,Chad,other,5.51,46.3,115,1621,91.2,37.9,65.3,49.3,Middle Africa,79
34.5,Chile,west,2.44,72.3,13,24928,75.5,4.6,5,78.3,South America,79
72.9,China,other,1.8,68.2,38,18931,84.9,10.1,27.3,71.7,Eastern Asia,79
50.2,Colombia,west,2.69,68.2,24,15184,79,8.8,8.6,73.7,South America,79
49.2,Congo,other,5.87,48.6,90,4169,68.4,16.9,32.8,53.4,Middle Africa,79
43.6,Cook Islands,other,3.5,67,26,10466,71.4,3.102,4.104,73,Oceania,79
33.3,Costa Rica,west,2.95,74.5,12,20667,79.2,5.3,5,79.2,North America,79
44,Croatia,west,1.6,68.1,10,29777,64.1,0.924,4.32,76.5,Southern Europe,79
41.2,Cuba,west,1.55,74.2,9,9099,72.6,3.8,4.7,78,North America,79
47.6,Cyprus,west,2.31,75.4,7,41595,78,2.046,9,79.8,Western Asia,79
52.1,Czech Republic,west,1.4,69.8,9,42956,71.5,1,1,76,Eastern Europe,79
72.3,Denmark,west,1.82,73,7,61478,83.2,1,1,78.3,Northern Europe,79
42.9,Dominican Republic,west,2.8,68.9,34,19799,82.6,18,17.8,73.1,North America,79
48.4,Ecuador,west,3.1,67.3,46,11331,79.7,8,11.8,72.5,South America,79
21.6,Egypt,other,3.4,64.7,54,13083,73.4,36.4,61.2,67.3,Northern Africa,79
40.6,El Salvador,west,3.09,66.5,39,8891,79.8,26.5,30.2,72.5,North America,79
42.4,Equatorial Guinea,other,5.51,48.4,107,18236,89.1,10.4,31.9,51.6,Middle Africa,79
54.1,Estonia,west,1.3,63.9,12,39729,71.5,0.2,0.2,75,Northern Europe,79
58.4,Ethiopia,other,7,48.4,107,2973,84.7,54.5,74.7,51.6,Eastern Africa,79
23.3,Fiji,other,2.76,70.6,20,12298,85.4,6.2,10.7,74.9,Oceania,79
55.4,Finland,west,1.83,73,5,51867,66.9,0,0,80.1,Northern Europe,79
48.4,France,west,1.63,74.6,7,49492,62.7,1,1,82.9,Western Europe,77
48.5,French Polynesia,other,2.85,69.8,10,19766,74.2,2,2,75.3,Oceania,77
44.8,Gambia,other,5.2,45.4,122,2384,70.2,47.2,75.1,48.7,Western Africa,77
58,Georgia,other,1.9,68.5,23,15709,75,0.3,0.6,76.7,Western Asia,77
47.3,Germany,west,1.3,73.4,6,56956,68.1,1,1,79.9,Western Europe,77
36.1,Greece,west,1.38,75.5,8,30495,64.7,1.7,4.7,80.6,Southern Europe,77
52.3,Guadeloupe,west,2.1,72.1,8,9145,66.9,9.768,9.576,78.8,North America,77
60,Guam,other,3.04,72.7,10,18000,84,1.4,1.2,76.8,Oceania,77
18.4,Guatemala,west,4.9,64.7,40,8648,84,37.5,51.4,69.8,North America,77
44.9,Guinea,other,6.61,46,124,2731,79.9,50.1,78.1,47,Western Africa,77
39.3,Guyana,west,2.32,61.1,58,23258,81.2,1.4,2.5,67.9,South America,77
49,Haiti,west,4.6,52.8,82,2962,80.3,52,57.8,56,North America,77
34.7,Honduras,west,4.3,67.5,35,5698,86.4,27.4,27.3,72.3,North America,77
47.8,Hong Kong,other,1.32,76.1,5,62839,76,4,11.8,81.8,Eastern Asia,77
43.4,Hungary,west,1.4,64.5,14,35088,61.1,0.7,1,73.8,Eastern Europe,77
76.8,Iceland,west,2.19,77.4,5,58151,86.2,1,1,81.2,Northern Europe,77
33.7,India,other,3.07,62.1,72,7333,80.4,34.5,62.3,62.7,Southern Asia,77
51.3,Indonesia,other,2.63,63.3,48,12882,84.8,10.4,22,67,South-eastern Asia,77
9.9,Iran,other,4.77,68.5,39,13513,79.8,22.3,40.7,70,Southern Asia,77
10.3,Iraq,other,5.25,60.9,95,10038,74,29.3,55,63.9,Western Asia,77
41.1,Ireland,west,1.8,74,6,99239,67.8,1,1,79.4,Northern Europe,77
45.6,Israel,other,2.75,75.7,7,42570,62.1,2.442,6.696,79.5,Western Asia,77
34.6,Italy,west,1.19,75.1,7,43376,61.6,1.4,2.4,81.4,Southern Europe,77
42,Ivory Coast,other,5.1,50,86,5642,88.7,50.1,70,52.2,Western Africa,77
62.4,Jamaica,west,2.44,72.4,12,10294,74,19.2,10.9,76.8,North America,77
50,Japan,other,1.48,76.9,4,44585,77.7,1,1,82.9,Eastern Asia,77
12.7,Jordan,other,5.13,67.7,30,10590,72.5,6.6,20.6,71.8,Western Asia,77
62.8,Kazakhstan,other,2.3,62.8,34,27560,78.5,0.3,0.5,72.5,Central Asia,77
68,Kiribati,other,3.8,58,65,2242,84,2.7,2.7,63,Oceania,77
34.3,Kuwait,other,2.77,74.1,14,41507,80.1,17.8,25.1,78.2,Western Asia,77
60,Kyrgyzstan,other,3.21,63.4,39,5323,75,0.3,0.5,71.9,Central Asia,77
51.5,Latvia,west,1.4,62.5,16,33394,69.8,0.2,0.3,74.3,Northern Europe,77
65.1,Lithuania,west,1.5,64.9,13,40784,75.7,0.4,0.7,76,Northern Europe,77
37.3,Luxembourg,west,1.76,73.1,6,122740,65.7,1,1,79.7,Western Europe,77
