Timestamp,fav_alcohol,"On average (approx.) how many parties a month do you attend during the school year? Enter a whole number (0, 1, 2, 3, 4, ...)",smoke,weed,introvert_extrovert,love_first_sight,learning_style,left_right_brained,personality_type,social_media,num_insta_followers,streaming_platforms,expected_marriage_age,expected_starting_salary,fav_sport,minutes_ex_per_week,sleep_hours_per_day,how_happy,farthest_distance_travelled,fav_number,fav_letter,internet_hours_per_day,only_child,birthdate_odd_even,birth_month,fav_season,living_location_on_campus,major,num_majors_minors,high_school_GPA,NU_GPA,age,height,height_father,height_mother,school_year,procrastinator,num_clubs,student_athlete,AP_stats,used_python_before,dominant_hand,childhood_in_US,gender,region_of_residence,political_affliation,cant_change_math_ability,can_change_math_ability,math_is_genetic,much_effort_is_lack_of_talent
2022/09/13 1:43:34 pm GMT-5,I don't drink,1,No,Occasionally,Introvert,No,Visual (learn best through images or graphic organizers),"Left-brained (logic, science, critical thinking, numbers)",INFJ,Instagram;Snapchat;TikTok,1040,Netflix;Hulu;Amazon Prime;HBO Max;Disney+,24,"80,000",Basketball,240,5,Pretty happy,"7,000",7,A,7,No,Odd,September,Fall,South campus,Math / Statistics / Computer Science,2,4.5/4,3.7/4,19,5'3,5'8,5'8,Sophomore,Yes,4,No,No,Yes,Right,Yes,Female,Northeast,Democrat,Disagree,Agree,Disagree,Disagree
2022/09/13 5:28:17 pm GMT-5,Hard liquor/Mixed drink,3,No,Occasionally,Extrovert,No,Visual (learn best through images or graphic organizers),"Left-brained (logic, science, critical thinking, numbers)",ESFJ,Instagram;Twitter;Snapchat;TikTok,1100,"HBO Max;Disney+;Paramount Plus, Peacock",30,80000,Tennis,180,7,Very happy,7000,5,A,8,No,Odd,May,Fall,North campus,Humanities / Communications;Math / Statistics / Computer Science,2,NA,3.415,19,65,NA,60,Sophomore,Yes,2,No,Yes,Yes,Right,Yes,Male,West,Democrat,Disagree,Agree,Disagree,Disagree
2022/09/13 7:56:38 pm GMT-5,Hard liquor/Mixed drink,3,No,Yes,Introvert,No,Kinesthetic (learn best through figuring out hands-on problems),"Left-brained (logic, science, critical thinking, numbers)",ISTJ,Instagram;Snapchat;TikTok,700,Netflix,28,"110,000",Swimming,60,10,Pretty happy,8000,12,M,6,No,Odd,January,Summer,North campus,Physical Sciences / Natural Sciences / Engineering,3,NA,3.627,20,64,66,64,Sophomore,Yes,2,No,No,No,Right,No,Female,International,No affiliation,Disagree,Agree,Disagree,Disagree
2022/09/13 10:34:37 pm GMT-5,Hard liquor/Mixed drink,12,No,No,Extrovert,No,Visual (learn best through images or graphic organizers),"Left-brained (logic, science, critical thinking, numbers)",ENFJ,Instagram;Twitter;Snapchat;TikTok,2000,Netflix;Hulu;Disney+,29,100000,football,300,7,Pretty happy,6600,19,D,7,No,Odd,May,Summer,South campus,Math / Statistics / Computer Science,3,4.286/4.3,3.485,19,65,71,69,Sophomore,No,1,No,Yes,No,Right,Yes,Female,Southeast,Democrat,Disagree,Agree,Disagree,Disagree
2022/09/14 4:46:19 pm GMT-5,I don't drink,1,No,No,Extrovert,Yes,Reading/Writing (learn best through words often note-taking or reading),"Right-brained (creative, art, imaginative, intuitive)",ENTJ,Facebook;Instagram;TikTok,500,Netflix;Amazon Prime;HBO Max,30,60000,Swimming,0,7,Pretty happy,"3,602",7,S,5,No,Even,May,Spring,Neither,Humanities / Communications;Math / Statistics / Computer Science,2,3.9,3.8,20,65,68,60,Junior,Yes,2,No,No,No,Right,Yes,Female,Northeast,Democrat,Agree,Disagree,Disagree,Disagree
2022/09/14 10:05:24 pm GMT-5,Hard liquor/Mixed drink,2,No,Occasionally,Extrovert,Yes,Kinesthetic (learn best through figuring out hands-on problems),"Left-brained (logic, science, critical thinking, numbers)",ENFP,Facebook;Instagram;Twitter;Snapchat;TikTok,270,Netflix;Hulu;Amazon Prime;HBO Max;Disney+,27,"75,000",Volleyball,360,7,Pretty happy,3603,2307,A,6,No,Odd,March,Fall,North campus,Social Sciences / Education;Math / Statistics / Computer Science,3,3.99,3,20,70,65,60,Junior,Yes,2,No,Yes,Yes,Right,Yes,Male,International,Democrat,Disagree,Agree,Disagree,Disagree
2022/09/15 1:17:10 am GMT-5,Hard liquor/Mixed drink,2,No,Occasionally,Introvert,Yes,Kinesthetic (learn best through figuring out hands-on problems),"Left-brained (logic, science, critical thinking, numbers)",INFJ,Instagram;Twitter;Snapchat;TikTok,1557,Netflix;Hulu,26,80000,Swimming,60,7,Pretty happy,8338,69,k,8,No,Odd,February,Fall,Neither,Social Sciences / Education;Math / Statistics / Computer Science,3,4.3,3.8,20,69,67,64,Junior,Yes,4,No,Yes,Yes,Right,Yes,Male,Midwest,Democrat,Disagree,Agree,Disagree,Disagree
2022/09/15 2:37:56 am GMT-5,I don't drink,0,No,No,Introvert,No,Visual (learn best through images or graphic organizers),"Left-brained (logic, science, critical thinking, numbers)",INFJ,Instagram,500,None,28,"40,000",Figure skating,140,7,Very happy,2700,2,a,4,No,Even,January,Fall,North campus,Physical Sciences / Natural Sciences / Engineering;Math / Statistics / Computer Science,4,4.34,3.9,20,65,NA,NA,Junior,Yes,7+,No,Yes,Yes,Right,Yes,Female,Midwest,Democrat,Agree,Disagree,Disagree,Disagree
2022/09/15 9:08:26 am GMT-5,I don't drink,1,No,No,Extrovert,No,Kinesthetic (learn best through figuring out hands-on problems),"Right-brained (creative, art, imaginative, intuitive)",ENTP,TikTok,100,Amazon Prime,30+,"130,000",Yoga,60,8,Pretty happy,6585,7,E,8,No,Odd,May,Spring,Neither,Social Sciences / Education;Math / Statistics / Computer Science,3,3.93,3.87,20,63,NA,NA,Junior,Yes,3,No,Yes,Yes,Right,No,Female,International,No affiliation,Agree,Disagree,Agree,Agree
2022/09/15 12:40:41 pm GMT-5,I don't drink,1,No,No,Introvert,No,Reading/Writing (learn best through words often note-taking or reading),"Left-brained (logic, science, critical thinking, numbers)",ISFJ,Facebook;Instagram,800,Netflix;Hulu;Amazon Prime,26,"90,000",swimming ,0,8,Not too happy,7548 miles,2,z,8,No,Odd,January,Summer,Neither,Math / Statistics / Computer Science,1,3.92,NA,20,60 in,NA,62,Junior,Yes,0,No,Yes,Yes,Right,No,Female,Midwest,Democrat,Disagree,Agree,Agree,Agree
