Year,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
1997,37247.9,11061.3,53776,23316,431069.4,52989.4,50568.5,16293.5,14801,142316.9,94784.6,13552.7,11392.2,151296.6,61982.1,34799.4,27382.9,41490.6,47340.3,9998.6,57249.3,90725.2,101944,54159.5,21296.3,62103.8,7578.6,19352.1,22608.5,15319.7,113056.4,25921.2,285946.2,93019.9,5905.7,125809.5,30165.6,40064.3,130253.5,10175.2,35309.5,8080.7,56801.1,244940.9,21611.1,5209.7,76237.6,72446.4,13885.1,50462.3,6273.1
1998,39368.1,9388.7,57020.8,23736.9,453030.9,57765.1,51906.8,18697.3,15341.7,147761.1,103983.2,12914.2,11868.2,154671.8,68704.9,33538.7,27898.3,42902.2,46982.4,10208.6,60621.4,91037.9,103223.8,55832.2,20995.3,62605,8195.8,19920.9,23858.9,15737.8,110113.3,22877.4,282284.7,95791.9,6670.9,131812.2,29450.9,40963.9,133482.3,10932.7,36681.1,8684.2,63996.5,245730.4,23178.6,5199,81875.3,76716.3,14251.7,53446.9,5978
1999,41513.7,9690.1,62895.4,25718.4,487837.8,62638.8,53755.3,20725.1,16243.4,159175.9,115229.7,13574.3,13679.4,162498.5,70630.2,34728.2,29103.2,44408.1,50997.3,11289.4,63910.7,93358.9,115645,58893,22309.6,64759.1,8249.5,20462.7,26310.4,15500.6,116530.6,24291.9,305524.5,104006,6829.7,135445.8,30636,40000.5,137857.9,11355.7,39301.9,8995,66809.7,253513.2,24521.9,5605.6,89269.7,85342.4,14934.6,56541.8,6312
2000,42583.4,10455.7,62781.3,25974.1,509912,66475,59834.2,22478.8,16094.7,168100.2,117796.7,14200.8,15506,170702.3,75097.8,37638.7,30136.9,39217.9,54827.2,12297,66140.4,97109,115576.8,64313.8,22546.1,67032.6,8453.1,21294.2,28205,16218.5,122851.6,24481.3,309367,105673.2,7416.1,140147,33284.7,43349.1,141053.2,12006.7,40242.7,9851,66815.6,274635.9,25717,5948.6,93412.4,84431.5,14530,58484.6,7028.3
2001,43348.6,11337.1,64896.1,26235.7,514711.6,68887.7,62264.6,24465.3,17549.1,179503.5,123715.7,14660.4,14407.5,175118.5,75143.8,37487.3,30798.4,39995.8,55648.8,12638,72675.4,101675.6,114166,64244.7,23792.1,68042.8,8827.6,22594.8,29124.6,16594.1,130313.9,23522.2,333484.5,111365.1,7514.2,140143.1,36288.7,41632.3,148417,12445.8,42303.2,10123.1,68719.4,290137.2,26481.1,6220.2,101719,83915.8,14893.5,61242.4,7918
2002,45807.1,11963.7,70104.3,27860.2,537381.3,72171.8,64528,23211.3,19130,196626,130323.4,14976.4,14710.3,181133,79411,38804.4,31815.2,42427.2,54523.5,13406,77810.3,108319.9,126743.8,68494.1,23922.5,71023.2,9009.4,22189.8,31824.5,18187.5,135870.3,24034.1,350262.9,117168.6,7847.3,149294.2,37554.9,44745.6,155952,13296.8,45711.7,12112.7,74042.1,299342.5,28312.8,6704.1,106519.4,89565.8,15912.1,63661.6,7809.8
2003,49100.6,13311.2,77869.7,30737.5,581749.9,76283.5,66380.9,24421.2,19891.3,211888.3,138635.4,16496.2,15528.5,192990.9,87295.4,43458.1,34201.8,45395.9,66745.3,14040.3,82379.1,113957.7,130911,75853.5,27026.2,75561.2,10033.8,25378.4,33917.7,19285.2,141852.9,27154.6,354833.5,123138.7,9180.4,153840.3,41875.8,48498.1,165374,13610.7,48555,12535.6,77725.3,328901.9,29891.6,7029.1,111319.2,93420.9,16457.3,67530.7,9065.6
2004,57547,15436.6,81311.9,33626,609807.5,78021.1,76332.1,26159.7,21945.4,235074.2,149166.3,18154.6,17489,206658.9,94968.8,51889.7,34165.6,48511.5,78333.4,15434.9,89164.7,117149.2,135105.3,83354.4,28212.3,81223.7,11383.9,27307.5,39143.9,20491.2,142931.7,31897.2,372164,131137.9,9272.1,164363.6,46201.6,52942.5,176091.9,15039.1,49204.7,13614.7,83882.3,382306.7,33214.2,7812.4,116555.6,97280.7,17634.8,72219,10345.9
2005,63137,19019.1,90811.9,36232.1,669808.7,87175.9,81040.6,25434.9,23285.3,259016.4,161578.1,20701,19948.9,216613.1,96117.5,55481.2,38479.5,53525.8,102973,16643.1,95717.6,125286.6,142900.1,92982.6,30666.3,85508.5,12959,30008.8,44841.2,20972.4,151590.2,33656.6,387437.4,145225.7,10242.9,177846.6,53552.3,55985,185562.9,16023.5,53000.9,14875.2,90191.7,427799.9,38546,7765,127336.6,111906.6,19833.9,79326.1,13222.2
2006,65253.3,22400.6,94686.5,38116.8,718212,90876.4,90802.1,26980.5,23956.6,274981.1,163991.3,21887.9,19567.5,229410.1,101185.6,55811.4,42554.7,57828.9,104472.1,16875.3,99354.3,131575.1,142173.8,94072.6,32301.8,87145.5,13705.5,31623.1,49527.6,22221.7,160183.9,34163.9,402892,161835.4,10789.9,180554.7,59223.3,59811.7,188171.1,17462.9,55242.9,15118.3,94943.3,484610.6,43888,7962.3,135207.8,119397.6,21407.6,83054.1,16010.9
