Rank,Title,US Gross,Worldwide Gross,Production Budget,Release Date,MPAA Rating,Source,Major Genre,Creative Type,IMDB Rating,IMDB Votes
1,The Shawshank Redemption,28241469,28241469,25000000,Sep 23 1994,R,Adapted screenplay,Drama,Fiction,9.2,519541
2,Inception,285630280,753830280,160000000,Jul 16 2010,PG/PG-13,Original Screenplay,Horror/Thriller,Fiction,9.1,188247
3,The Dark Knight,533345358,1022345358,185000000,Jul 18 2008,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,8.9,465000
4,Schindler's List,96067179,321200000,25000000,Dec 15 1993,R,Adapted screenplay,Drama,Non-Fiction,8.9,276283
5,Pulp Fiction,107928762,212928762,8000000,Oct 14 1994,R,Original Screenplay,Drama,Fiction,8.9,417703
6,Toy Story 3,410640665,1046340665,200000000,Jun 18 2010,G,Original Screenplay,Action/Adventure,Fiction,8.9,67380
7,Cidade de Deus,7563397,28763397,3300000,Jan 17 2003,R,Adapted screenplay,Drama,Fiction,8.8,166897
8,Fight Club,37030102,100853753,65000000,Oct 15 1999,R,Adapted screenplay,Drama,Fiction,8.8,382470
9,The Lord of the Rings: The Fellowship of the Ring,314776170,868621686,109000000,Dec 19 2001,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,8.8,387438
10,The Lord of the Rings: The Return of the King,377027325,1133027325,94000000,Dec 17 2003,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,8.8,364077
11,C'era una volta il West,5321508,5321508,5000000,May 28 1969,PG/PG-13,Original Screenplay,Western/Musical,Fiction,8.8,74184
12,The Town,30980607,33180607,37000000,Sep 17 2010,R,Adapted screenplay,Drama,Fiction,8.7,493
13,Memento,25544867,39665950,5000000,Mar 16 2001,R,Adapted screenplay,Drama,Fiction,8.7,274524
14,The Lord of the Rings: The Two Towers,341784377,926284377,94000000,Dec 18 2002,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,8.7,326950
15,The Usual Suspects,23341568,23341568,6000000,Aug 16 1995,R,Original Screenplay,Drama,Fiction,8.7,266890
16,Se7en,100125643,328125643,30000000,Sep 22 1995,R,Original Screenplay,Horror/Thriller,Fiction,8.7,278918
17,Raiders of the Lost Ark,245034358,386800358,20000000,Jun 12 1981,PG/PG-13,Original Screenplay,Action/Adventure,Fiction,8.7,242661
18,The Matrix,171479930,460279930,65000000,Mar 31 1999,R,Original Screenplay,Action/Adventure,Fiction,8.7,380934
19,Apocalypse Now,78800000,78800000,31500000,Aug 15 1979,R,Adapted screenplay,Action/Adventure,Fiction,8.6,173141
