;id;rank;title;fullTitle;year;image;crew;imDbRating;imDbRatingCount
0;tt0111161;1;The Shawshank Redemption;The Shawshank Redemption (1994);1994;https://m.media-amazon.com/images/M/MV5BMDFkYTc0MGEtZmNhMC00ZDIzLWFmNTEtODM1ZmRlYWMwMWFmXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UX128_CR0,12,128,176_AL_.jpg;Frank Darabont (dir.), Tim Robbins, Morgan Freeman;9.2;2624065
1;tt0068646;2;The Godfather;The Godfather (1972);1972;https://m.media-amazon.com/images/M/MV5BM2MyNjYxNmUtYTAwNi00MTYxLWJmNWYtYzZlODY3ZTk3OTFlXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX128_CR0,12,128,176_AL_.jpg;Francis Ford Coppola (dir.), Marlon Brando, Al Pacino;9.2;1817542
2;tt0468569;3;The Dark Knight;The Dark Knight (2008);2008;https://m.media-amazon.com/images/M/MV5BMTMxNTMwODM0NF5BMl5BanBnXkFtZTcwODAyMTk2Mw@@._V1_UX128_CR0,12,128,176_AL_.jpg;Christopher Nolan (dir.), Christian Bale, Heath Ledger;9.0;2595637
3;tt0071562;4;The Godfather Part II;The Godfather Part II (1974);1974;https://m.media-amazon.com/images/M/MV5BMWMwMGQzZTItY2JlNC00OWZiLWIyMDctNDk2ZDQ2YjRjMWQ0XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX128_CR0,12,128,176_AL_.jpg;Francis Ford Coppola (dir.), Al Pacino, Robert De Niro;9.0;1248050
4;tt0050083;5;12 Angry Men;12 Angry Men (1957);1957;https://m.media-amazon.com/images/M/MV5BMWU4N2FjNzYtNTVkNC00NzQ0LTg0MjAtYTJlMjFhNGUxZDFmXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_UX128_CR0,12,128,176_AL_.jpg;Sidney Lumet (dir.), Henry Fonda, Lee J. Cobb;8.9;775140
5;tt0108052;6;Schindler's List;Schindler's List (1993);1993;https://m.media-amazon.com/images/M/MV5BNDE4OTMxMTctNmRhYy00NWE2LTg3YzItYTk3M2UwOTU5Njg4XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX128_CR0,12,128,176_AL_.jpg;Steven Spielberg (dir.), Liam Neeson, Ralph Fiennes;8.9;1332332
6;tt0167260;7;The Lord of the Rings: The Return of the King;The Lord of the Rings: The Return of the King (2003);2003;https://m.media-amazon.com/images/M/MV5BNzA5ZDNlZWMtM2NhNS00NDJjLTk4NDItYTRmY2EwMWZlMTY3XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX128_CR0,12,128,176_AL_.jpg;Peter Jackson (dir.), Elijah Wood, Viggo Mortensen;8.9;1800001
7;tt0110912;8;Pulp Fiction;Pulp Fiction (1994);1994;https://m.media-amazon.com/images/M/MV5BNGNhMDIzZTUtNTBlZi00MTRlLWFjM2ItYzViMjE3YzI5MjljXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX128_CR0,12,128,176_AL_.jpg;Quentin Tarantino (dir.), John Travolta, Uma Thurman;8.9;2009164
8;tt0120737;9;The Lord of the Rings: The Fellowship of the Ring;The Lord of the Rings: The Fellowship of the Ring (2001);2001;https://m.media-amazon.com/images/M/MV5BN2EyZjM3NzUtNWUzMi00MTgxLWI0NTctMzY4M2VlOTdjZWRiXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_UX128_CR0,12,128,176_AL_.jpg;Peter Jackson (dir.), Elijah Wood, Ian McKellen;8.8;1821347
9;tt0060196;10;The Good, the Bad and the Ugly;The Good, the Bad and the Ugly (1966);1966;https://m.media-amazon.com/images/M/MV5BNjJlYmNkZGItM2NhYy00MjlmLTk5NmQtNjg1NmM2ODU4OTMwXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_UX128_CR0,12,128,176_AL_.jpg;Sergio Leone (dir.), Clint Eastwood, Eli Wallach;8.8;750636
10;tt0109830;11;Forrest Gump;Forrest Gump (1994);1994;https://m.media-amazon.com/images/M/MV5BNWIwODRlZTUtY2U3ZS00Yzg1LWJhNzYtMmZiYmEyNmU1NjMzXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX128_CR0,12,128,176_AL_.jpg;Robert Zemeckis (dir.), Tom Hanks, Robin Wright;8.8;2029311
11;tt0137523;12;Fight Club;Fight Club (1999);1999;https://m.media-amazon.com/images/M/MV5BNDIzNDU0YzEtYzE5Ni00ZjlkLTk5ZjgtNjM3NWE4YzA3Nzk3XkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_UX128_CR0,12,128,176_AL_.jpg;David Fincher (dir.), Brad Pitt, Edward Norton;8.7;2068594
12;tt1375666;13;Inception;Inception (2010);2010;https://m.media-amazon.com/images/M/MV5BMjAxMzY3NjcxNF5BMl5BanBnXkFtZTcwNTI5OTM0Mw@@._V1_UX128_CR0,12,128,176_AL_.jpg;Christopher Nolan (dir.), Leonardo DiCaprio, Joseph Gordon-Levitt;8.7;2301894
13;tt0167261;14;The Lord of the Rings: The Two Towers;The Lord of the Rings: The Two Towers (2002);2002;https://m.media-amazon.com/images/M/MV5BZGMxZTdjZmYtMmE2Ni00ZTdkLWI5NTgtNjlmMjBiNzU2MmI5XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX128_CR0,12,128,176_AL_.jpg;Peter Jackson (dir.), Elijah Wood, Ian McKellen;8.7;1625442
14;tt0080684;15;Star Wars: Episode V - The Empire Strikes Back;Star Wars: Episode V - The Empire Strikes Back (1980);1980;https://m.media-amazon.com/images/M/MV5BYmU1NDRjNDgtMzhiMi00NjZmLTg5NGItZDNiZjU5NTU4OTE0XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX128_CR0,12,128,176_AL_.jpg;Irvin Kershner (dir.), Mark Hamill, Harrison Ford;8.7;1269706
15;tt0133093;16;The Matrix;The Matrix (1999);1999;https://m.media-amazon.com/images/M/MV5BNzQzOTk3OTAtNDQ0Zi00ZTVkLWI0MTEtMDllZjNkYzNjNTc4L2ltYWdlXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX128_CR0,12,128,176_AL_.jpg;Lana Wachowski (dir.), Keanu Reeves, Laurence Fishburne;8.7;1879943
16;tt0099685;17;Goodfellas;Goodfellas (1990);1990;https://m.media-amazon.com/images/M/MV5BY2NkZjEzMDgtN2RjYy00YzM1LWI4ZmQtMjIwYjFjNmI3ZGEwXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX128_CR0,12,128,176_AL_.jpg;Martin Scorsese (dir.), Robert De Niro, Ray Liotta;8.7;1136810
17;tt0073486;18;One Flew Over the Cuckoo's Nest;One Flew Over the Cuckoo's Nest (1975);1975;https://m.media-amazon.com/images/M/MV5BZjA0OWVhOTAtYWQxNi00YzNhLWI4ZjYtNjFjZTEyYjJlNDVlL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX128_CR0,12,128,176_AL_.jpg;Milos Forman (dir.), Jack Nicholson, Louise Fletcher;8.6;993469
