Title,US Gross,Worldwide Gross,Production Budget,Release Date,MPAA Rating,Source,Major Genre,Creative Type,IMDB Rating,IMDB Votes
Opal Dreams,14443,14443,9000000,Nov 22 2006,PG/PG-13,Adapted screenplay,Drama,Fiction,6.5,468
Major Dundee,14873,14873,3800000,Apr 07 1965,PG/PG-13,Adapted screenplay,Western/Musical,Fiction,6.7,2588
The Informers,315000,315000,18000000,Apr 24 2009,R,Adapted screenplay,Horror/Thriller,Fiction,5.2,7595
Buffalo Soldiers,353743,353743,15000000,Jul 25 2003,R,Adapted screenplay,Comedy,Fiction,6.9,13510
The Last Sin Eater,388390,388390,2200000,Feb 09 2007,PG/PG-13,Adapted screenplay,Drama,Fiction,5.7,1012
The City of Your Final Destination,493296,493296,8300000,Apr 16 2010,PG/PG-13,Adapted screenplay,Drama,Fiction,6.6,430
The Claim,622023,622023,13000000,Dec 29 2000,R,Adapted screenplay,Western/Musical,Fiction,6.5,3681
Texas Rangers,623374,623374,38000000,Nov 30 2001,PG/PG-13,Adapted screenplay,Western/Musical,Fiction,5,2645
Ride With the Devil,630779,630779,35000000,Nov 24 1999,R,Adapted screenplay,Western/Musical,Fiction,6.4,1873
Karakter,713413,713413,4500000,Mar 27 1998,R,Adapted screenplay,Drama,Fiction,7.8,5531
Charly,814666,814666,950000,Sep 27 2002,PG/PG-13,Adapted screenplay,Drama,Fiction,5.8,60
AimÈe & Jaguar,927107,927107,6800000,Aug 11 2000,Other,Adapted screenplay,Drama,Non-Fiction,7.2,2974
Savage Grace,434417,968805,4600000,May 28 2008,Other,Adapted screenplay,Drama,Non-Fiction,5.7,3838
Owning Mahowny,1011054,1011054,10000000,May 02 2003,R,Adapted screenplay,Drama,Non-Fiction,7,5789
A Home at the End of the World,1029017,1033810,6500000,Jul 23 2004,R,Adapted screenplay,Drama,Fiction,6.7,7180
Thr3e,1008849,1060418,2400000,Jan 05 2007,PG/PG-13,Adapted screenplay,Horror/Thriller,Fiction,5,2825
Lolita,1147784,1147784,55000000,Jul 22 1998,R,Adapted screenplay,Drama,Fiction,6.7,15197
Me and Orson Welles,1190003,1190003,25000000,Nov 25 2009,PG/PG-13,Adapted screenplay,Drama,Fiction,7.1,2417
Bubba Ho-Tep,1239183,1239183,1000000,Sep 19 2003,R,Adapted screenplay,Comedy,Fiction,7.3,23110
The Good German,1308696,1308696,32000000,Dec 15 2006,R,Adapted screenplay,Drama,Fiction,6.1,13007
Le hussard sur le toit,1320043,1320043,35000000,Apr 19 1996,R,Adapted screenplay,Drama,Fiction,6.9,3083
"Gandhi, My Father",240425,1375194,5000000,Aug 03 2007,Other,Adapted screenplay,Drama,Non-Fiction,8.1,50881
Married Life,1506998,1506998,12000000,Mar 07 2008,PG/PG-13,Adapted screenplay,Drama,Fiction,6.4,4358
Nicholas Nickleby,1562800,1562800,10000000,Dec 27 2002,PG/PG-13,Adapted screenplay,Drama,Fiction,7.3,4968
Oscar and Lucinda,1612957,1612957,12500000,Dec 31 1997,R,Adapted screenplay,Drama,Fiction,6.7,3782
Spider,1641788,1641788,10000000,Feb 28 2003,R,Adapted screenplay,Drama,Fiction,7.8,560
Jesus' Son,1282084,1687548,2500000,Jun 16 2000,R,Adapted screenplay,Drama,Fiction,6.7,4620
The Dangerous Lives of Altar Boys,1779284,1779284,12000000,Jun 14 2002,R,Adapted screenplay,Drama,Fiction,6.9,7943
Les herbes folles,377556,1877556,14000000,Jun 25 2010,PG/PG-13,Adapted screenplay,Horror/Thriller,Fiction,6.7,915
Thumbsucker,1328679,1919197,4000000,Sep 16 2005,R,Adapted screenplay,Comedy,Fiction,6.7,12109
Crazy in Alabama,1954202,1954202,15000000,Oct 22 1999,PG/PG-13,Adapted screenplay,Drama,Fiction,5.7,3991
Felicia's Journey,824295,1970268,15000000,Nov 12 1999,PG/PG-13,Adapted screenplay,Drama,Fiction,6.9,4790
Sur Le Seuil,2013052,2013052,2500000,Oct 03 2003,Other,Adapted screenplay,Drama,Fiction,6.7,585
The Work and the Glory: American Zion,2025032,2025032,6500000,Oct 21 2005,PG/PG-13,Adapted screenplay,Drama,Fiction,5.6,365
A Dog of Flanders,2165637,2165637,7000000,Aug 27 1999,PG/PG-13,Adapted screenplay,Drama,Fiction,5.9,482
Smilla's Sense of Snow,2221994,2221994,35000000,Feb 28 1997,R,Adapted screenplay,Horror/Thriller,Fiction,6.1,7280
Last Orders,2326407,2326407,12000000,Feb 15 2002,R,Adapted screenplay,Drama,Fiction,7,3463
What Just Happened,1090947,2412123,27000000,Oct 17 2008,R,Adapted screenplay,Comedy,Fiction,5.9,12537
And When Did You Last See Your Father?,1071240,2476491,8000000,Jun 06 2008,PG/PG-13,Adapted screenplay,Drama,Non-Fiction,6.8,1798
Love and Death on Long Island,2542264,2542264,4030000,Mar 06 1998,PG/PG-13,Adapted screenplay,Drama,Fiction,6.9,2506
Infamous,1151330,2613717,13000000,Oct 13 2006,R,Adapted screenplay,Drama,Non-Fiction,7.1,6917
Auto Focus,2062066,2703821,7000000,Oct 18 2002,R,Adapted screenplay,Drama,Non-Fiction,6.6,7236
Cheri,2715657,2715657,23000000,Jun 26 2009,R,Adapted screenplay,Drama,Fiction,6.1,3307
The Perez Family,2794056,2794056,11000000,May 12 1995,R,Adapted screenplay,Comedy,Fiction,6,1177
Jindabyne,399879,2862544,10800000,Apr 27 2007,R,Adapted screenplay,Drama,Fiction,6.4,3920
The House of Mirth,3041803,3041803,10000000,Dec 22 2000,PG/PG-13,Adapted screenplay,Drama,Fiction,6.8,4489
The Work and the Glory,3347647,3347647,7500000,Nov 24 2004,PG/PG-13,Adapted screenplay,Drama,Fiction,6,531
Crash,3357324,3357324,10000000,Oct 04 1996,R,Adapted screenplay,Drama,Fiction,6.1,20886
My Summer of Love,1000915,3800915,1700000,Jun 17 2005,R,Adapted screenplay,Drama,Fiction,7,7242
Restoration,4100000,4100000,18000000,Dec 29 1995,R,Adapted screenplay,Drama,Fiction,6.5,4024
Left Behind,4221341,4221341,18500000,Feb 02 2001,PG/PG-13,Adapted screenplay,Drama,Fiction,5,43
The Sweet Hereafter,4306697,4306697,5000000,Oct 10 1997,R,Adapted screenplay,Drama,Fiction,7.8,16280
The Other Side of Heaven,4720371,4720371,7000000,Dec 14 2001,PG/PG-13,Adapted screenplay,Drama,Non-Fiction,6.3,1670
The Virgin Suicides,4859475,4859475,6000000,Apr 21 2000,R,Adapted screenplay,Comedy,Fiction,7.2,49110
Jakob the Liar,4956401,4956401,15000000,Sep 24 1999,PG/PG-13,Adapted screenplay,Drama,Fiction,6.1,6636
Control,871577,5645350,6400000,Oct 10 2007,R,Adapted screenplay,Drama,Non-Fiction,7.8,19466
Ed Wood,5828466,5828466,18000000,Sep 30 1994,R,Adapted screenplay,Comedy,Non-Fiction,8.1,74171
Impostor,6114237,6114237,40000000,Jan 04 2002,PG/PG-13,Adapted screenplay,Horror/Thriller,Fiction,6,9020
A Sound of Thunder,1900451,6300451,80000000,Sep 02 2005,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,4.1,9915
Mary Reilly,5707094,6370115,47000000,Feb 23 1996,R,Adapted screenplay,Drama,Fiction,5.5,6864
Gods and Monsters,6451628,6451628,3500000,Nov 06 1998,R,Adapted screenplay,Drama,Fiction,7.5,15946
I Dreamed of Africa,6543194,6543194,34000000,May 05 2000,PG/PG-13,Adapted screenplay,Drama,Fiction,5.2,2298
The Last Station,6616974,6616974,18000000,Jan 15 2010,R,Adapted screenplay,Drama,Non-Fiction,7,3465
The Big Bounce,6471394,6626115,50000000,Jan 30 2004,PG/PG-13,Adapted screenplay,Comedy,Fiction,4.8,9195
Trapped,6916869,6916869,30000000,Sep 20 2002,R,Adapted screenplay,Horror/Thriller,Fiction,6,10685
Obsluhoval jsem anglickÈho kr·le,617228,7174984,4900000,Aug 29 2008,R,Adapted screenplay,Comedy,Fiction,7.4,3048
Running With Scissors,6775659,7213629,12000000,Oct 20 2006,R,Adapted screenplay,Comedy,Non-Fiction,6,12926
Requiem for a Dream,3635482,7390108,4500000,Oct 06 2000,Other,Adapted screenplay,Drama,Fiction,8.5,185226
A Scanner Darkly,5501616,7405084,20000000,Jul 07 2006,R,Adapted screenplay,Horror/Thriller,Fiction,7.2,41928
Smoke Signals,6719300,7756617,2000000,Jun 26 1998,PG/PG-13,Adapted screenplay,Comedy,Fiction,6.9,5058
Hoot,8117637,8224998,15000000,May 05 2006,PG/PG-13,Adapted screenplay,Comedy,Fiction,5.3,2830
The Love Letter,8322608,8322608,15000000,May 21 1999,PG/PG-13,Adapted screenplay,Comedy,Fiction,5.1,2446
Big Trouble,7262288,8488871,45000000,Apr 05 2002,PG/PG-13,Adapted screenplay,Comedy,Fiction,6.3,11610
The Oxford Murders,3607,8667348,10000000,Aug 06 2010,R,Adapted screenplay,Horror/Thriller,Fiction,6.1,8066
Whatever it Takes,8735529,8735529,15000000,Mar 24 2000,PG/PG-13,Adapted screenplay,Comedy,Fiction,5.2,4192
The Deep End,8823109,8823109,3000000,Aug 08 2001,R,Adapted screenplay,Horror/Thriller,Fiction,6.6,6734
Miracle at St. Anna,7916887,9110458,45000000,Sep 26 2008,R,Adapted screenplay,Drama,Fiction,5.9,8559
All the King's Men,7221458,9521458,55000000,Sep 22 2006,PG/PG-13,Adapted screenplay,Drama,Fiction,6,11994
The Express,9793406,9808102,37500000,Oct 04 2008,PG/PG-13,Adapted screenplay,Drama,Non-Fiction,7.1,4749
Tsotsi,2912606,9879971,3000000,Feb 24 2006,R,Adapted screenplay,Drama,Fiction,7.4,13167
Mrs. Winterbourne,10039566,10039566,25000000,Apr 19 1996,PG/PG-13,Adapted screenplay,Comedy,Fiction,5.8,2987
Taking Woodstock,7460204,10061080,29000000,Aug 26 2009,R,Adapted screenplay,Drama,Non-Fiction,6.8,8778
The Scarlet Letter,10359006,10359006,50000000,Oct 13 1995,R,Adapted screenplay,Drama,Fiction,4.6,6155
Sex Drive,8402485,10412485,19000000,Oct 17 2008,R,Adapted screenplay,Comedy,Fiction,6.8,26920
Not Easily Broken,10572742,10572742,5000000,Jan 09 2009,PG/PG-13,Adapted screenplay,Drama,Fiction,5.2,1010
The Great Raid,10166502,10597070,60000000,Aug 12 2005,R,Adapted screenplay,Action/Adventure,Fiction,6.8,8894
The End of the Affair,10660147,10660147,23000000,Dec 03 1999,R,Adapted screenplay,Drama,Fiction,6.9,9969
Being Julia,7739049,11039049,18000000,Oct 15 2004,R,Adapted screenplay,Drama,Fiction,7.1,7067
Fair Game,11497497,11497497,50000000,Nov 03 1995,R,Adapted screenplay,Action/Adventure,Fiction,6.6,194
The Rules of AttrAction/Adventure,6525762,11799060,4000000,Oct 11 2002,R,Adapted screenplay,Comedy,Fiction,6.7,26634
The Thirteenth Floor,11810854,11810854,16000000,May 28 1999,R,Adapted screenplay,Horror/Thriller,Fiction,6.7,19939
City of Ember,7871693,11817059,38000000,Oct 10 2008,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,6.4,14905
Layer Cake,2339957,11850214,6500000,May 13 2005,R,Adapted screenplay,Horror/Thriller,Fiction,7.4,39857
In Dreams,12017369,12017369,30000000,Jan 15 1999,R,Adapted screenplay,Horror/Thriller,Fiction,5.3,7138
