Title,US Gross,Worldwide Gross,US DVD Sales,Production Budget,Release Date,MPAA Rating,Source,Major Genre,Creative Type,Rotten Tomatoes Rating,IMDB Rating,IMDB Votes
Opal Dreams,14443,14443,,9000000,Nov 22 2006,PG/PG-13,Adapted screenplay,Drama,Fiction,,6.5,468
Major Dundee,14873,14873,,3800000,Apr 07 1965,PG/PG-13,Adapted screenplay,Western/Musical,Fiction,97,6.7,2588
Breakfast of Champions,178287,178287,,12000000,Sep 17 1999,R,Adapted screenplay,Comedy,,25,4.3,5033
Never Let Me Go,186830,186830,,15000000,Sep 15 2010,,Adapted screenplay,Drama,Fiction,62,7.3,252
Betty Fisher et autres histoires,206400,206400,,7500000,Sep 13 2002,Other,Adapted screenplay,Drama,,,6.9,1054
La femme de chambre du Titanic,244465,244465,,10000000,Aug 14 1998,,Adapted screenplay,Drama,Fiction,,6.8,822
Life Before Her Eyes,303439,303439,,12000000,Apr 18 2008,R,Adapted screenplay,Drama,Fiction,,,
The Informers,315000,315000,,18000000,Apr 24 2009,R,Adapted screenplay,Horror/Thriller,Fiction,,5.2,7595
Buffalo Soldiers,353743,353743,,15000000,Jul 25 2003,R,Adapted screenplay,Comedy,Fiction,,6.9,13510
The Game of Their Lives,375474,375474,,20000000,Apr 22 2005,PG/PG-13,Adapted screenplay,Drama,,25,6,1443
The Last Sin Eater,388390,388390,,2200000,Feb 09 2007,PG/PG-13,Adapted screenplay,Drama,Fiction,19,5.7,1012
The First Great Train Robbery,391942,391942,,6000000,Feb 02 1979,,Adapted screenplay,Action/Adventure,,,6.9,5141
The City of Your Final Destination,493296,493296,,8300000,Apr 16 2010,PG/PG-13,Adapted screenplay,Drama,Fiction,40,6.6,430
The Claim,622023,622023,,13000000,Dec 29 2000,R,Adapted screenplay,Western/Musical,Fiction,63,6.5,3681
Texas Rangers,623374,623374,,38000000,Nov 30 2001,PG/PG-13,Adapted screenplay,Western/Musical,Fiction,,5,2645
Ride With the Devil,630779,630779,,35000000,Nov 24 1999,R,Adapted screenplay,Western/Musical,Fiction,63,6.4,1873
Karakter,713413,713413,,4500000,Mar 27 1998,R,Adapted screenplay,Drama,Fiction,,7.8,5531
Beastmaster 2: Through the Portal of Time,773490,773490,,6000000,Aug 30 1991,,Adapted screenplay,,Fiction,17,3.3,1327
Charly,814666,814666,,950000,Sep 27 2002,PG/PG-13,Adapted screenplay,Drama,Fiction,,5.8,60
The Ballad of Gregorio Cortez,909000,909000,,1305000,Aug 19 1983,,Adapted screenplay,Western/Musical,Fiction,,,
AimÈe & Jaguar,927107,927107,,6800000,Aug 11 2000,Other,Adapted screenplay,Drama,Non-Fiction,,7.2,2974
Savage Grace,434417,968805,,4600000,May 28 2008,Other,Adapted screenplay,Drama,Non-Fiction,,5.7,3838
Duma,870067,994790,,12000000,Sep 30 2005,PG/PG-13,Adapted screenplay,Action/Adventure,,93,7.2,2966
Caravans,1000000,1000000,,14000000,Dec 31 1977,,Adapted screenplay,Action/Adventure,Fiction,,5.8,173
Owning Mahowny,1011054,1011054,,10000000,May 02 2003,R,Adapted screenplay,Drama,Non-Fiction,78,7,5789
A Home at the End of the World,1029017,1033810,,6500000,Jul 23 2004,R,Adapted screenplay,Drama,Fiction,48,6.7,7180
Thr3e,1008849,1060418,,2400000,Jan 05 2007,PG/PG-13,Adapted screenplay,Horror/Thriller,Fiction,5,5,2825
Lolita,1147784,1147784,,55000000,Jul 22 1998,R,Adapted screenplay,Drama,Fiction,,6.7,15197
Me and Orson Welles,1190003,1190003,,25000000,Nov 25 2009,PG/PG-13,Adapted screenplay,Drama,Fiction,84,7.1,2417
Bubba Ho-Tep,1239183,1239183,,1000000,Sep 19 2003,R,Adapted screenplay,Comedy,Fiction,,7.3,23110
The Good German,1308696,1308696,,32000000,Dec 15 2006,R,Adapted screenplay,Drama,Fiction,32,6.1,13007
Le hussard sur le toit,1320043,1320043,,35000000,Apr 19 1996,R,Adapted screenplay,Drama,Fiction,,6.9,3083
"Gandhi, My Father",240425,1375194,,5000000,Aug 03 2007,Other,Adapted screenplay,Drama,Non-Fiction,40,8.1,50881
Where the Truth Lies,872142,1415656,,25000000,Oct 14 2005,Other,Adapted screenplay,Drama,,41,6.6,8951
Married Life,1506998,1506998,,12000000,Mar 07 2008,PG/PG-13,Adapted screenplay,Drama,Fiction,,6.4,4358
Nicholas Nickleby,1562800,1562800,,10000000,Dec 27 2002,PG/PG-13,Adapted screenplay,Drama,Fiction,77,7.3,4968
Oscar and Lucinda,1612957,1612957,,12500000,Dec 31 1997,R,Adapted screenplay,Drama,Fiction,65,6.7,3782
Spider,1641788,1641788,,10000000,Feb 28 2003,R,Adapted screenplay,Drama,Fiction,,7.8,560
"The Book of Mormon Movie, Volume 1: The Journey",1660865,1660865,,2000000,Sep 12 2003,PG/PG-13,Adapted screenplay,Drama,Fiction,,,
Jesus' Son,1282084,1687548,,2500000,Jun 16 2000,R,Adapted screenplay,Drama,Fiction,,6.7,4620
The Bridge of San Luis Rey,49981,1696765,,24000000,Jun 10 2005,PG/PG-13,Adapted screenplay,Drama,,4,5,1913
The Dangerous Lives of Altar Boys,1779284,1779284,,12000000,Jun 14 2002,R,Adapted screenplay,Drama,Fiction,77,6.9,7943
Les herbes folles,377556,1877556,,14000000,Jun 25 2010,PG/PG-13,Adapted screenplay,Horror/Thriller,Fiction,,6.7,915
Thumbsucker,1328679,1919197,,4000000,Sep 16 2005,R,Adapted screenplay,Comedy,Fiction,70,6.7,12109
The Clan of the Cave Bear,1953732,1953732,,15000000,Jan 17 1986,,Adapted screenplay,Action/Adventure,Fiction,13,4.9,2763
Crazy in Alabama,1954202,1954202,,15000000,Oct 22 1999,PG/PG-13,Adapted screenplay,Drama,Fiction,31,5.7,3991
Felicia's Journey,824295,1970268,,15000000,Nov 12 1999,PG/PG-13,Adapted screenplay,Drama,Fiction,88,6.9,4790
Sur Le Seuil,2013052,2013052,,2500000,Oct 03 2003,Other,Adapted screenplay,Drama,Fiction,,6.7,585
