Title,IMDB Rating,Rotten Tomatoes Rating,Running Time min,Release Date,US Gross,Worldwide Gross,Production Budget,comedy,Action,drama,horror
Broken Arrow,5.8,55,108,Feb 09 1996,70645997,148345997,65000000,0,1,0,0
Brazil,8,98,136,Dec 18 1985,9929135,9929135,15000000,1,0,0,0
The Cable Guy,5.8,52,95,Jun 14 1996,60240295,102825796,47000000,1,0,0,0
Chain Reaction,5.2,13,106,Aug 02 1996,21226204,60209334,55000000,0,1,0,0
Clash of the Titans,5.9,65,108,Jun 12 1981,30000000,30000000,15000000,0,1,0,0
City Hall,6.1,55,111,Feb 16 1996,20278055,20278055,40000000,0,0,1,0
Courage Under Fire,6.6,85,115,Jul 12 1996,59003384,100833145,46000000,0,0,1,0
Dante's Peak,5.6,28,108,Feb 07 1997,67163857,178200000,115000000,0,0,1,0
Daylight,5.4,22,115,Dec 06 1996,32908290,158908290,80000000,0,1,0,0
Dragonheart,6.2,50,108,May 31 1996,51364680,104364680,57000000,0,1,0,0
Escape from L.A.,5.3,56,101,Aug 09 1996,25426861,25426861,50000000,0,1,0,0
Eraser,5.9,34,115,Jun 21 1996,101295562,234400000,100000000,0,1,0,0
From Dusk Till Dawn,7.1,63,107,Jan 19 1996,25728961,25728961,20000000,0,0,0,1
Fled,4.9,14,98,Jul 19 1996,17192205,19892205,30000000,0,1,0,0
Fargo,8.3,94,87,Mar 08 1996,24567751,51204567,7000000,0,0,0,1
The First Wives Club,5.6,41,90,Sep 20 1996,105489203,181489203,30000000,1,0,0,0
The Ghost and the Darkness,6.6,51,109,Oct 11 1996,38564422,38564422,55000000,0,1,0,0
The Glimmer Man,4.9,13,92,Oct 04 1996,20404841,36404841,45000000,0,1,0,0
Gone with the Wind,8.2,97,222,Dec 15 2039,198680470,390525192,3900000,0,0,1,0
Happy Gilmore,6.9,58,92,Feb 16 1996,38623460,38623460,10000000,1,0,0,0
Harriet the Spy,5.8,45,101,Jul 10 1996,26570048,26570048,13000000,0,1,0,0
Independence Day,6.5,61,145,Jul 02 1996,306169255,817400878,75000000,0,1,0,0
The Island of Dr. Moreau,4.1,23,95,Aug 23 1996,27682712,27682712,40000000,0,1,0,0
Jack,5.3,17,113,Aug 09 1996,58617334,58617334,45000000,0,0,1,0
