,Country,GDP_per_capita
0,Liechtenstein,180227
1,Monaco,173696
2,Luxembourg,117182
3,Bermuda,123945
4,Ireland,86251
5,Norway,66871
6,Switzerland,86919
7,IsleofMan,—
8,CaymanIslands,95191
9,Qatar,50815
10,Singapore,58114
11,UnitedStates,63123
12,ChannelIslands,—
13,Iceland,63644
14,Australia,55823
15,FaroeIslands,—
16,Denmark,61477
17,Canada,43560
18,Sweden,53575
19,Netherlands,53334
20,Israel,47034
21,Greenland,55139
22,Austria,48106
23,Finland,48685
24,Belgium,45028
25,HongKong,46611
26,BritishVirginIslands,49357
27,Germany,45909
28,UnitedArabEmirates,36285
29,SanMarino,45832
30,UnitedKingdom,40718
31,NewZealand,43972
32,Brunei,27437
33,France,38959
34,Andorra,37072
35,USVirginIslands,—
36,PuertoRico,36052
37,Kuwait,24809
38,Taiwan,28383
39,NewCaledonia,34006
40,Guam,—
41,Japan,39990
42,Italy,31238
43,Macau,37474
44,SouthKorea,31947
45,Malta,33771
46,Bahamas,25194
47,Aruba,23386
48,Cyprus,28133
49,Slovenia,25777
50,Estonia,23106
51,Spain,27409
52,Bahrain,19925
53,CzechRepublic,22911
54,SaudiArabia,20110
55,Portugal,22413
56,TurksandCaicosIslands,23881
57,Lithuania,20772
58,Oman,12409
59,Iran,11183
60,Latvia,17871
61,SaintMartinFrenchpart,—
62,Greece,18117
63,TrinidadandTobago,15286
64,NorthernMarianaIslands,—
65,Slovakia,19264
66,Seychelles,10767
67,FrenchPolynesia,20707
68,Uruguay,15438
69,Barbados,15449
70,SintMaartenDutchpart,20000
71,SaintKittsandNevis,17434
72,Poland,15764
73,Hungary,16129
74,Guyana,6956
75,Croatia,13934
76,Anguilla,17226
77,AntiguaandBarbuda,13993
78,Panama,12269
79,CookIslands,16135
80,Curaao,15819
81,Romania,12929
82,Chile,13232
83,Maldives,6924
84,Russia,10166
85,Argentina,8476
86,Montserrat,13523
87,Malaysia,10402
88,CostaRica,12077
89,China,10229
90,AmericanSamoa,—
91,Palau,14567
92,Bulgaria,10058
93,World,10949
94,Turkmenistan,7104
95,Kazakhstan,9111
96,EquatorialGuinea,7143
97,Mexico,8326
98,SaintLucia,8805
99,DominicanRepublic,7268
100,Grenada,9273
101,Gabon,6789
102,Nauru,12510
103,Turkey,8538
104,Montenegro,7626
105,Cuba,9478
106,Serbia,7656
107,Mauritius,8587
108,Brazil,6797
109,Belarus,6377
110,SaintVincentandtheGrenadines,7298
111,Dominica,7038
112,Thailand,7189
113,Botswana,6711
114,Peru,6163
115,Azerbaijan,4202
116,BosniaandHerzegovina,6035
117,NorthMacedonia,5886
118,Georgia,3984
119,SouthAfrica,5094
120,Iraq,4146
121,Colombia,5333
122,Ecuador,5600
123,Albania,5181
124,Belize,3988
125,Libya,4243
126,Armenia,4266
127,Tuvalu,4648
128,Jamaica,4665
129,Paraguay,4950
130,Moldova,2954
131,Fiji,5013
132,Kosovo,4368
133,Tonga,4646
134,ElSalvador,3799
135,Guatemala,4332
136,Suriname,7023
137,Ukraine,3557
138,MarshallIslands,4130
139,Namibia,4215
140,Indonesia,3870
141,Jordan,4283
142,Mongolia,4007
143,Egypt,3609
144,Vietnam,2786
145,Algeria,3368
146,Samoa,3890
147,Micronesia,3500
148,Eswatini,3306
149,Morocco,3108
150,Tunisia,3318
151,Angola,1896
152,Djibouti,3465
153,Bolivia,3133
154,CapeVerde,3064
155,Philippines,3299
156,Bhutan,3218
157,Palestine,3050
158,PapuaNewGuinea,2640
159,SriLanka,3768
160,Venezuela,3740
161,Vanuatu,2783
162,Honduras,2406
163,Congo,1830
164,Bangladesh,2001
165,Lebanon,9310
166,India,1931
167,Zimbabwe,1466
168,IvoryCoast,2318
169,Nicaragua,1905
170,Ghana,2206
171,Mauritania,1702
172,Nigeria,2085
173,Kenya,1879
174,Uzbekistan,1724
175,SolomonIslands,2251
176,SoTomandPrncipe,2174
177,Laos,2623
178,EastTimor,1443
179,Cambodia,1513
180,Kiribati,1515
181,Haiti,1360
182,Pakistan,1167
183,Cameroon,1502
184,Senegal,1458
185,Kyrgyzstan,1186
186,Benin,1254
187,Zambia,985
188,Guinea,1179
189,Comoros,1421
190,Nepal,1135
191,Tanzania,1115
192,Lesotho,1061
193,Uganda,846
194,Myanmar,1292
195,Ethiopia,840
196,Zanzibar,1031
197,Tajikistan,838
198,Togo,863
199,Sudan,1415
200,Rwanda,798
201,Syria,890
202,Yemen,937
203,Mali,856
204,GuineaBissau,668
205,Gambia,757
206,BurkinaFaso,831
207,Chad,679
208,Liberia,491
209,DRCongo,506
210,Eritrea,588
211,NorthKorea,618
212,Afghanistan,508
213,Niger,568
214,Mozambique,449
215,Somalia,118
216,Malawi,615
217,Madagascar,470
218,CentralAfricanRepublic,481
219,SierraLeone,475
220,SouthSudan,1421
221,Burundi,286
