,Country,Population(1 July 2019)
0,China[a],1433783686
1,India,1366417754
2,United States,329064917
3,Indonesia,270625568
4,Pakistan,216565318
5,Brazil,211049527
6,Nigeria,200963599
7,Bangladesh,163046161
8,Russia,145872256
9,Mexico,127575529
10,Japan,126860301
11,Ethiopia,112078730
12,Philippines,108116615
13,Egypt,100388073
14,Vietnam,96462106
15,DR Congo,86790567
16,Germany,83517045
17,Turkey,83429615
18,Iran,82913906
19,Thailand,69037513
20,United Kingdom,67530172
21,France[b],65129728
22,Italy,60550075
23,South Africa,58558270
24,Tanzania[c],58005463
25,Myanmar,54045420
26,Kenya,52573973
27,South Korea,51225308
28,Colombia,50339443
29,Spain[d],46736776
30,Argentina,44780677
31,Uganda,44269594
32,Ukraine[e],43993638
33,Algeria,43053054
34,Sudan,42813238
35,Iraq,39309783
36,Afghanistan,38041754
37,Poland,37887768
38,Canada,37411047
39,Morocco,36471769
40,Saudi Arabia,34268528
41,Uzbekistan,32981716
42,Peru,32510453
43,Malaysia,31949777
44,Angola,31825295
45,Mozambique,30366036
46,Yemen,29161922
47,Ghana,28833629
48,Nepal,28608710
49,Venezuela,28515829
50,Madagascar,26969307
51,North Korea,25666161
52,Ivory Coast,25716544
53,Cameroon,25876380
54,Australia[f],25203198
55,Taiwan[g],23773876
56,Niger,23310715
57,Sri Lanka,21323733
58,Burkina Faso,20321378
59,Mali,19658031
60,Romania,19364557
61,Malawi,18628747
62,Chile,18952038
63,Kazakhstan,18551427
64,Zambia,17861030
65,Guatemala,17581472
66,Ecuador,17373662
67,Netherlands[h],17097130
68,Syria,17070135
69,Cambodia,16486542
70,Senegal,16296364
71,Chad,15946876
72,Somalia[i],15442905
73,Zimbabwe,14645468
74,Guinea,12771246
75,Rwanda,12626950
76,Benin,11801151
77,Tunisia,11694719
78,Belgium,11539328
79,Bolivia,11513100
80,Cuba,11333483
81,Haiti,11263770
82,South Sudan,11062113
83,Burundi,10864245
84,Dominican Republic,10738958
85,Czech Republic,10689209
86,Greece,10473455
87,Portugal[j],10226187
88,Jordan,10101694
89,Azerbaijan[k],10047718
90,Sweden,10036379
91,United Arab Emirates,9770529
92,Honduras,9746117
93,Hungary,9684679
94,Belarus,9452411
95,Tajikistan,9321018
96,Austria,8955102
97,Papua New Guinea,8776109
98,Serbia[l],8772235
99,Switzerland,8591365
100,Israel,8519377
101,Togo,8082366
102,Sierra Leone,7813215
103,Hong Kong (China)[m],7436154
104,Laos,7169455
105,Paraguay,7044636
106,Bulgaria,7000119
107,Lebanon,6855713
108,Libya,6777452
109,Nicaragua,6545502
110,El Salvador,6453553
111,Kyrgyzstan,6415850
112,Turkmenistan,5942089
113,Singapore,5804337
114,Denmark,5771876
115,Finland[n],5532156
116,Slovakia,5457013
117,Congo,5380508
118,Norway[o],5378857
119,Costa Rica,5047561
120,Palestine[p],4981420
121,Oman,4974986
122,Liberia,4937374
123,Ireland,4882495
124,New Zealand,4783063
125,Central African Republic,4745185
126,Mauritania,4525696
127,Panama,4246439
128,Kuwait,4207083
129,Croatia,4130304
130,Moldova[q],4043263
131,Georgia[r],3996765
132,Eritrea,3497117
133,Uruguay,3461734
134,Bosnia and Herzegovina,3301000
135,Mongolia,3225167
136,Armenia,2957731
137,Jamaica,2948279
138,Puerto Rico (United States),2933408
139,Albania,2880917
140,Qatar,2832067
141,Lithuania,2759627
142,Namibia,2494530
143,Gambia,2347706
144,Botswana,2303697
145,Gabon,2172579
146,Lesotho,2125268
147,North Macedonia,2083459
148,Slovenia,2078654
149,Guinea-Bissau,1920922
150,Latvia,1906743
151,Bahrain,1641172
152,Trinidad and Tobago,1394973
153,Equatorial Guinea,1355986
154,Estonia,1325648
155,East Timor,1293119
156,Mauritius,1198575
157,Cyprus[s],1179551
158,Eswatini,1148130
159,Djibouti,973560
160,Fiji,889953
161,Réunion (France),888927
162,Comoros,850886
163,Guyana,782766
164,Bhutan,763092
165,Solomon Islands,669823
166,Macao (China)[t],640445
167,Montenegro,627987
168,Luxembourg,615729
169,Western Sahara[u],582463
170,Suriname,581372
171,Cape Verde,549935
172,Maldives,530953
173,Guadeloupe (France)[v],447905
174,Malta,440372
175,Brunei,433285
176,Belize,390353
177,Bahamas,389482
178,Martinique (France),375554
179,Iceland,339031
180,Vanuatu,299882
181,Barbados,287025
182,New Caledonia (France),282750
183,French Guiana (France),282731
184,French Polynesia (France),279287
185,Mayotte (France),266150
186,São Tomé and Príncipe,215056
187,Samoa,197097
188,Saint Lucia,182790
189,Channel Islands (United Kingdom)[w],172259
190,Guam (United States),167294
191,Curaçao (Netherlands),163424
192,Kiribati,117606
193,Micronesia,113815
194,Grenada,112003
195,Tonga,110940
196,Saint Vincent and the Grenadines,110589
197,Aruba (Netherlands),106314
198,U.S. Virgin Islands (United States),104578
199,Seychelles,97739
200,Antigua and Barbuda,97118
201,Isle of Man (United Kingdom),84584
202,Andorra,77142
203,Dominica,71808
204,Cayman Islands (United Kingdom),64948
205,Bermuda (United Kingdom),62506
206,Marshall Islands,58791
207,Greenland (Denmark),56672
208,Northern Mariana Islands (United States),56188
209,American Samoa (United States),55312
210,Saint Kitts and Nevis,52823
211,Faroe Islands (Denmark),48678
212,Sint Maarten (Netherlands),42388
213,Monaco,38964
214,Turks and Caicos Islands (United Kingdom),38191
215,Liechtenstein,38019
216,San Marino,33860
217,Gibraltar (United Kingdom),33701
218,British Virgin Islands (United Kingdom),30030
219,Caribbean Netherlands (Netherlands)[x],25979
220,Palau,18008
221,Cook Islands,17548
222,Anguilla (United Kingdom),14869
